x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
x coords eyes,Y coords eyes,X coords face,Y coords face
86,61,349,212
